Date,Seat,Name,Status,Comments,__id
1/10/2026,A1-242100000001,Student One,Present,,SampleId0000000000000000000001
1/10/2026,A1-242100000002,Student Two,,,SampleId0000000000000000000002
1/10/2026,A1-242100000003,Student Three,Present,,SampleId0000000000000000000003
1/10/2026,A1-242100000004,Student Four,,,SampleId0000000000000000000004
1/10/2026,A1-242100000005,Student Five,Present,,SampleId0000000000000000000005
1/10/2026,A1-242100000006,Student Six,Leave,,SampleId0000000000000000000006
1/13/2026,A1-242100000001,Student One,Present,,SampleId0000000000000000000007
1/13/2026,A1-242100000002,Student Two,Present,,SampleId0000000000000000000008
1/13/2026,A1-242100000003,Student Three,,,SampleId0000000000000000000009
1/13/2026,A1-242100000004,Student Four,Present,,SampleId0000000000000000000010
1/13/2026,A1-242100000005,Student Five,,,SampleId0000000000000000000011
1/13/2026,A1-242100000006,Student Six,Present,,SampleId0000000000000000000012
1/16/2026,A1-242100000001,Student One,,,SampleId0000000000000000000013
1/16/2026,A1-242100000002,Student Two,Present,,SampleId0000000000000000000014
1/16/2026,A1-242100000003,Student Three,Present,,SampleId0000000000000000000015
1/16/2026,A1-242100000004,Student Four,Leave,,SampleId0000000000000000000016
1/16/2026,A1-242100000005,Student Five,Present,,SampleId0000000000000000000017
1/16/2026,A1-242100000006,Student Six,Present,,SampleId0000000000000000000018
1/20/2026,A1-242100000001,Student One,Present,,SampleId0000000000000000000019
1/20/2026,A1-242100000002,Student Two,,,SampleId0000000000000000000020
1/20/2026,A1-242100000003,Student Three,Present,,SampleId0000000000000000000021
1/20/2026,A1-242100000004,Student Four,Present,,SampleId0000000000000000000022
1/20/2026,A1-242100000005,Student Five,Leave,,SampleId0000000000000000000023
1/20/2026,A1-242100000006,Student Six,,,SampleId0000000000000000000024
1/22/2026,A1-242100000001,Student One,Present,,SampleId0000000000000000000025
1/22/2026,A1-242100000002,Student Two,Present,,SampleId0000000000000000000026
1/22/2026,A1-242100000003,Student Three,Leave,,SampleId0000000000000000000027
1/22/2026,A1-242100000004,Student Four,Present,,SampleId0000000000000000000028
1/22/2026,A1-242100000005,Student Five,Present,,SampleId0000000000000000000029
1/22/2026,A1-242100000006,Student Six,Present,,SampleId0000000000000000000030
