Date,Seat,Name,Status,__id
9/15/2025,B1-24001,Ahmed Ali,Present,Abc123XyZ456
9/15/2025,B1-24002,Sara Khan,Present,Def789GhI012
9/15/2025,B1-24003,Hassan Ahmed,,Jkl345MnO678
9/15/2025,B1-24004,Fatima Sheikh,Leave,Pqr901StU234
9/15/2025,B1-24005,Omar Malik,Present,Vwx567YzA890
9/15/2025,B1-24006,Zainab Hussain,Present,Bcd123EfG456
9/15/2025,B1-24007,Ali Raza,,Hij789KlM012
9/15/2025,B1-24008,Ayesha Tariq,Present,Nop345QrS678
9/15/2025,B1-24009,Usman Qureshi,Leave,Tuv901WxY234
9/15/2025,B1-24010,Mariam Siddiqui,Present,Zab567CdE890
8/27/2025,,,,XABCZHZSHG1234238
9/16/2025,B1-24001,Ahmed Ali,Present,Fgh123IjK456
9/16/2025,B1-24002,Sara Khan,,Lmn789OpQ012
9/16/2025,B1-24003,Hassan Ahmed,Present,Rst345UvW678
9/16/2025,B1-24004,Fatima Sheikh,Present,Xyz901AbC234
9/16/2025,B1-24005,Omar Malik,Leave,DeF567GhI890
9/16/2025,B1-24006,Zainab Hussain,Present,JkL123MnO456
9/16/2025,B1-24007,Ali Raza,Present,PqR789StU012
9/16/2025,B1-24008,Ayesha Tariq,,VwX345YzA678
9/16/2025,B1-24009,Usman Qureshi,Present,BcD901EfG234
9/16/2025,B1-24010,Mariam Siddiqui,Leave,HiJ567KlM890
9/27/2025,,,,XABCZHZSHG238
9/17/2025,B1-24001,Ahmed Ali,,NoP123QrS456
9/17/2025,B1-24002,Sara Khan,Present,TuV789WxY012
9/17/2025,B1-24003,Hassan Ahmed,Leave,ZaB345CdE678
9/17/2025,B1-24004,Fatima Sheikh,Present,FgH901IjK234
9/17/2025,B1-24005,Omar Malik,Present,LmN567OpQ890
9/17/2025,B1-24006,Zainab Hussain,,RsT123UvW456
9/17/2025,B1-24007,Ali Raza,Present,XyZ789AbC012
9/17/2025,B1-24008,Ayesha Tariq,Present,DeF345GhI678
9/17/2025,B1-24009,Usman Qureshi,,JkL901MnO234
9/17/2025,B1-24010,Mariam Siddiqui,Present,PqR567StU890
9/23/2025,,,,XABCZHY1238
9/18/2025,B1-24001,Ahmed Ali,Leave,VwX123YzA456
9/18/2025,B1-24002,Sara Khan,Present,BcD789EfG012
9/18/2025,B1-24003,Hassan Ahmed,Present,HiJ345KlM678
9/18/2025,B1-24004,Fatima Sheikh,,NoP901QrS234
9/18/2025,B1-24005,Omar Malik,Present,TuV567WxY890
9/18/2025,B1-24006,Zainab Hussain,Present,ZaB123CdE456
9/18/2025,B1-24007,Ali Raza,Leave,FgH789IjK012
9/18/2025,B1-24008,Ayesha Tariq,Present,LmN345OpQ678
9/18/2025,B1-24009,Usman Qureshi,Present,RsT901UvW234
9/18/2025,B1-24010,Mariam Siddiqui,,XyZ567AbC890
9/21/2025,,,,XZHY1234
9/19/2025,B1-24001,Ahmed Ali,Present,DeF123GhI456
9/19/2025,B1-24002,Sara Khan,Leave,JkL789MnO012
9/19/2025,B1-24003,Hassan Ahmed,,PqR345StU678
9/19/2025,B1-24004,Fatima Sheikh,Present,VwX901YzA234
9/19/2025,B1-24005,Omar Malik,,BcD567EfG890
9/19/2025,B1-24006,Zainab Hussain,Present,HiJ123KlM456
9/19/2025,B1-24007,Ali Raza,Present,NoP789QrS012
9/19/2025,B1-24008,Ayesha Tariq,Leave,TuV345WxY678
9/19/2025,B1-24009,Usman Qureshi,Present,ZaB901CdE234
9/19/2025,B1-24010,Mariam Siddiqui,Present,FgH567IjK890
